venueId,name,typeGuess,capacity,capacityKind,seatedCapacity,capacityStatus,verifiedAt,verificationSourceUrls,siteUrl,address,sourceLiveIds
venue_仙台pit,仙台PIT,live_house,,,,needs_web_verification,,,http://sendai-pit.team-smile.org/,〒982-0007 宮城県仙台市太白区あすと長町２丁目２−５０,30|36
venue_千葉市蘇我スポ_ツ公園,千葉市蘇我スポーツ公園,outdoor_festival,,,,needs_web_verification,,,http://sogasportspark.com/,〒260-0835 千葉県千葉市中央区川崎町１−２０,32
venue_川崎市東扇島東公園特設会場,川崎市東扇島東公園特設会場,outdoor_festival,,,,needs_web_verification,,,,〒210-0869 神奈川県川崎市川崎区東扇島58-1,65
venue_太空间_live_house,太空间 LIVE HOUSE,live_house,,,,needs_web_verification,,,,,49
venue_大宮ソニックシティ,大宮ソニックシティ,hall,,,,needs_web_verification,,,https://www.sonic-city.or.jp/,〒330-0854 埼玉県さいたま市大宮区桜木町１丁目７−５,4
venue_大阪城音楽堂,大阪城音楽堂,outdoor_festival,,,,needs_web_verification,,,https://www.osakacastlepark.jp/ongakudo/,〒540-0002 大阪府大阪市中央区大阪城３−１１,33
venue_中杭州太子湾公園_中国,中杭州太子湾公園（中国）,outdoor_festival,,,,needs_web_verification,,,,,58
venue_中国上海_森蘭緑地_sen_lan_green_park,中国上海・森蘭緑地（Sen Lan Green Park),outdoor_festival,,,,needs_web_verification,,,,"中華人民共和国 Shang Hai Shi, Pu Dong Xin Qu, 张杨北路2700号 邮政编码: 200128",45
venue_中野サンプラザ,中野サンプラザ,hall,,,,needs_web_verification,,,,〒164-8512 東京都中野区中野４丁目１−１,38
venue_東京_ニッショ_ホ_ル,東京 ニッショーホール,hall,,,,needs_web_verification,,,http://nissho-hall.jp/accesmap.html,〒105-0021 東京都港区東新橋1-1-19 ヤクルト本社ビル,0
venue_徳島club_grindhouse,徳島club GRINDHOUSE,live_house,,,,needs_web_verification,,,https://c-gh.jp/,徳島県徳島市秋田町2-23 ジョイフルビル3F,72
venue_日本武道館,日本武道館,arena,14471,max,,verified,2026-05-17,https://www.nipponbudokan.or.jp/pdf/201704.pdf,https://www.nipponbudokan.or.jp/,〒102-8321 東京都千代田区北の丸公園2番3号,55
venue_梅田バナナホ_ル,梅田バナナホール,hall,,,,needs_web_verification,,,http://www.banana-hall.com/,〒530-0027 大阪府大阪市北区堂山町１−２１ モンテビルB 1,15
venue_舞洲スポ_ツアイランド,舞洲スポーツアイランド,outdoor_festival,,,,needs_web_verification,,,https://shisetsu.mizuno.jp/m-7402,〒554-0042 大阪府大阪市此花区北港緑地２丁目１−１２８,31|41|73
venue_福岡_スカラエスパシオ,福岡　スカラエスパシオ,hall,,,,needs_web_verification,,,https://espacio.ne.jp/,〒810-0004 福岡県福岡市中央区渡辺通４丁目８−２８ F.Tビル 地下2階,52
venue_福岡unitedlab,福岡UNITEDLAB,live_house,,,,needs_web_verification,,,https://unitedlab.live/,福岡市中央区大名 1-3-36,61
venue_福岡国際会議場メインホ_ル,福岡国際会議場メインホール,hall,,,,needs_web_verification,,,https://www.marinemesse.or.jp/messe-b/access/,福岡県福岡市博多区沖浜町7-1,72
venue_豊洲pit,豊洲PIT,live_house,,,,needs_web_verification,,,,〒135-0061 東京都江東区豊洲６丁目１−２３,11
venue_幕張メッセ,幕張メッセ,exhibition,,,,needs_web_verification,,,https://www.m-messe.co.jp/,〒261-8550 千葉県千葉市美浜区中瀬２丁目１,12|20|21|35|43|47|71
venue_幕張メッセ_ホ_ル_9_10_11,幕張メッセ ホール 9・10・11,exhibition,,,,needs_web_verification,,,https://www.m-messe.co.jp/,〒261-8550 千葉県千葉市美浜区中瀬２丁目１,51|67
venue_名古屋_e_l_l,名古屋 E.L.L.,live_house,,,,needs_web_verification,,,https://www.ell.co.jp/,〒460-0011 愛知県名古屋市中区大須２丁目１０−３５,15
venue_名古屋ダイアモンドホ_ル,名古屋ダイアモンドホール,hall,,,,needs_web_verification,,,http://diamond.sflag.co.jp/,〒460-0007 愛知県名古屋市中区新栄２丁目１−９ 雲竜フレックスビル西館5F,22
venue_恋の浦海岸,恋の浦海岸,outdoor_festival,,,,needs_web_verification,,,,〒811-3307 福岡県福津市渡６４１,17
venue_蜚声_phase_live_house,蜚声 PHASE LIVE HOUSE,live_house,,,,needs_web_verification,,,,,49
venue_东郎east_live,东郎EAST LIVE,live_house,,,,needs_web_verification,,,,,49
